code_ISIN,nom_du_produit,emetteur_du_produit,date_emission,date_remboursement,mention_complexite,montant_minimum_investissement,niveau_garantie,niveau_barriere_desactivante,niveau_risque,produit_sous_jacent,nature_sous_jacent,code_ISIN_sous_jacent,frais_ponctuels_entree,frais_ponctuels_sortie_echeance,frais_ponctuels_sortie_anticipee,frais_recurrents,frais_accessoires,performance_tension,performance_maximale,espérance_maximale_rendement,date_actualisation,resume_mecanisme,resume_detaille_mecanisme,complexite_gpt
FR00140097B5,Mediano 5,Credit Suisse AG,2022-03-17,2032-04-29,Oui,1000.0,0.0,0.7,5,"AXA SA, BNP Paribas SA, Stellantis NV, Sanofi SA, BASF SE, Kering, ASML Holding NV, STMicroelectronics NV, Adidas AG",Actions,"FR0000120628, FR0000131104, NL00150001Q9, FR0000120578, DE000BASF111, FR0000121485, NL0010273215, NL0000226223, DE000A1EWWW0",0.0,0.0,Non applicable,0.0,Non,-0.406,0.029,Non applicable,2024-02-29,"• Paiement à l'échéance basé sur la performance de l'actif sous-jacent le mieux performant.
• Remboursement anticipé possible à des dates spécifiques si l'actif sous-jacent le mieux performant dépasse le niveau de barrière de remboursement par anticipation.
• Paiement à l'échéance varie selon la performance de l'actif sous-jacent le mieux performant par rapport à son cours de référence initial.
• Aucun dividende ou droit lié à la détention des actifs sous-jacents.","Mediano 5 est un produit structuré émis par Credit Suisse AG avec une échéance en avril 2032. Il offre un rendement potentiel basé sur la performance des actions de plusieurs grandes entreprises. Le produit peut être remboursé par anticipation si l'actif sous-jacent le mieux performant atteint un certain seuil. À l'échéance, le paiement dépend de la performance de l'actif sous-jacent le mieux performant. Si cette performance est inférieure à 70% du cours initial, le remboursement peut être inférieur au montant investi ou nul. Le produit est destiné aux investisseurs ayant une tolérance au risque moyenne à élevée et est classé 5 sur 7 sur l'échelle de risque. La complexité du produit est considérée comme moyenne en raison de sa structure de paiement conditionnelle et de la diversité des actifs sous-jacents.",moyenne
XS1852280020,Produit (sous forme de titre de créance) Phoenix avec remboursement par anticipation et barrière de 4 ans et 7 mois lié à Renault S.A.,Goldman Sachs International,2018-09-20,2028-09-28,Oui,1000.0,0.0,0.6,6,Renault S.A.,Action,FR0000131906,0.0,0.0,0.121,0.0,Non,-0.841,0.906,,2024-02-29,"• Intérêts conditionnels basés sur la performance de l'action Renault S.A.
• Remboursement anticipé possible en fonction de la performance de l'action.
• À l'échéance, remboursement basé sur la performance de l'action et le niveau de la barrière.
• Pas de protection du capital; risque de perte partielle ou totale de l'investissement.","Ce produit est un titre de créance lié à l'action Renault S.A., offrant des intérêts conditionnels et la possibilité d'un remboursement anticipé basé sur la performance de l'action. Il n'offre pas de protection du capital, et l'investisseur risque de perdre une partie ou la totalité de son investissement à l'échéance. Le produit est conçu pour être détenu jusqu'à l'échéance ou jusqu'à un remboursement anticipé, avec un risque élevé classé 6 sur 7. La complexité du produit est due à sa dépendance à la performance d'une action spécifique et à l'absence de garantie de capital.",complexe
XS2482734964,Produit (sous forme de titre de créance) Phoenix avec remboursement par anticipation et barrière de 9 ans et 7 mois lié à l'indice Euronext G BNP 010622 GR Decrement 3.85 Index («COUPON TRIMESTRIEL BNP D3.85 2023»),Goldman Sachs Finance Corp International Ltd,2023-07-05,2033-10-06,Oui,1000.0,0.0,0.3,5,Euronext G BNP 010622 GR Decrement 3.85 Index,Indice,Non spécifié,0.0,0.0,0.029,0.008,Non spécifié,-0.897,0.103,Non spécifié,2024-02-29,"• Titre de créance avec intérêts conditionnels liés à la performance de l'indice sous-jacent.
• Possibilité de remboursement anticipé basé sur la performance de l'indice à des dates spécifiques.
• À l'échéance, remboursement basé sur la performance de l'indice : si au-dessus de la barrière, paiement de 1000 EUR par titre ; sinon, paiement ajusté en fonction de la performance de l'indice.
• Intérêts trimestriels de 23,50 EUR par titre si l'indice est au-dessus de 60% du cours de référence initial.","Ce produit est un titre de créance avec une durée de 9 ans et 7 mois, émis par Goldman Sachs Finance Corp International Ltd, lié à l'indice Euronext G BNP 010622 GR Decrement 3.85 Index. Il offre des intérêts trimestriels conditionnels et un potentiel de remboursement anticipé basé sur la performance de l'indice. À l'échéance, le remboursement dépend de la performance de l'indice par rapport à la barrière de 30%. Les intérêts sont payables si l'indice est au-dessus de 60% du cours de référence initial. Classé dans une classe de risque de 5 sur 7, ce produit présente un risque moyen à élevé et ne garantit pas le capital investi. La complexité de ce produit est considérée comme moyenne en raison de la structure conditionnelle des paiements et de la dépendance à la performance de l'indice sous-jacent.",moyenne
FR001400AUS9,Produit (sous forme de titre de créance) de remboursement par anticipation de 8 ans et 6 mois lié à l'indice Euronext® CDP Environment ESG Eurozone EW Decrement 5% («Milleis Protect 2022»),Goldman Sachs Finance Corp International Ltd,2022-06-15,2032-09-02,Oui,1000.0,1.0,0,2,Euronext® CDP Environment ESG Eurozone EW Decrement 5%,Indice,,0.0,0.0,0.039,0.0,Non,-0.241,0.065,,2024-02-29,"• Titre de créance sans génération d'intérêts.
• Remboursement par anticipation possible selon performance de l'indice sous-jacent.
• Paiement de remboursement par anticipation croissant à chaque date d'observation annuelle.
• À l'échéance, si aucun remboursement anticipé :
 1. Cours de clôture de l'indice ≥ 90% du cours initial : paiement de 1 535,00 EUR par titre.
 2. Sinon : paiement de 1 000,00 EUR par titre.","Le produit 'Milleis Protect 2022' est un titre de créance lié à l'indice Euronext® CDP Environment ESG Eurozone EW Decrement 5%, avec une durée de 8 ans et 6 mois et une valeur nominale de 1 000 EUR par titre. Il offre un potentiel de remboursement anticipé annuel si l'indice atteint ou dépasse 100% du cours de référence initial, avec un paiement croissant à chaque année. À l'échéance, si aucun remboursement anticipé n'a eu lieu, le paiement dépend du cours de clôture de l'indice par rapport à 90% du cours initial. Le produit est conçu pour les investisseurs ayant une compréhension des risques et une capacité à supporter une perte potentielle de leur investissement. Classé avec un risque de 2 sur 7, il présente un risque bas et est garanti par The Goldman Sachs Group, Inc. La complexité de ce produit est considérée comme moyenne en raison de sa structure de paiement conditionnelle et de son lien avec la performance d'un indice spécifique.",moyenne
XS2467041393,Produit (sous forme de titre de créance) de remboursement par anticipation avec barrière de 9 ans lié à l'indice Euronext G Credit Agricole 010621 GR Decrement 0.9,Goldman Sachs International,2022-06-06,2032-09-27,Oui,1000.0,0.0,0.5,1,Euronext G Credit Agricole 010621 GR Decrement 0.9,Indice,Non applicable,0.0,0.0,0.014,0.008,Non applicable,0.004,0.004,Non applicable,2024-02-29,"• Titre de créance sans génération d'intérêts.
• Remboursement anticipé possible selon performance de l'indice sous-jacent.
• Paiement à l'échéance dépendant de la performance de l'indice sous-jacent.
• Pas de protection du capital investi.
• Possibilité de perte totale de l'investissement.","Ce produit est un titre de créance lié à l'indice Euronext G Credit Agricole 010621 GR Decrement 0.9, sans intérêts, avec une échéance de 9 ans. Il offre un potentiel de remboursement anticipé basé sur la performance de l'indice, sans garantie de capital. À l'échéance, le paiement dépend de la performance de l'indice par rapport à un niveau de barrière prédéfini. Classé dans la classe de risque la plus basse (1 sur 7), il présente un risque très faible de perte en capital, mais sans protection contre les aléas de marché. La complexité de ce produit est considérée comme moyenne en raison de sa structure de paiement conditionnelle et de l'absence de génération d'intérêts.",moyenne
XS2482716045,"Produit (sous forme de titre de créance) de remboursement par anticipation avec barrière de 9 ans et 8 mois lié à l'indice Euronext G BNP 010622 GR Decrement 3.85 Index, à l'indice Euronext G Engie 020523 GR 1.20 Index, à l'indice Euronext G TotalEnergies 261021 GR Decrement 2.64 et à l'indice FTSE Mercedes-Benz Group AG 5.0 Fixed Point Decrement Act-365 2023 May05 Index",Goldman Sachs Finance Corp International Ltd,2023-09-21,2033-11-03,Oui,1000.0,0.0,0,6,"Euronext G BNP 010622 GR Decrement 3.85 Index, Euronext G Engie 020523 GR 1.20 Index, Euronext G TotalEnergies 261021 GR Decrement 2.64, FTSE Mercedes-Benz Group AG 5.0 Fixed Point Decrement Act-365 2023 May05 Index",Indices,Non applicable,0.022,0.0,0.022,0.0,Non,-0.905,0.12,Non applicable,2024-02-29,"• Potentiel d'appréciation du capital sans génération d'intérêts.
• Dépendance de la performance d'un panier d'indices avec réinvestissement des dividendes et déduction d'un Décrément prédéfini.
• Possibilité de remboursement anticipé basé sur la performance du panier à des dates d'observation spécifiques.
• À l'échéance, paiement basé sur la performance du panier avec des seuils prédéfinis pour le remboursement.","Ce produit est un titre de créance lié à un panier d'indices, sans génération d'intérêts, avec une durée de 9 ans et 8 mois. Il offre un potentiel d'appréciation du capital basé sur la performance modifiée des indices, qui inclut le réinvestissement des dividendes et la soustraction d'un Décrément prédéfini. Le produit peut être remboursé par anticipation si la performance du panier dépasse les niveaux de barrière prédéfinis à des dates d'observation spécifiques. À l'échéance, si aucun remboursement anticipé n'a eu lieu, le paiement dépendra de la performance du panier avec des seuils prédéfinis pour le remboursement. Classé avec un risque élevé (6 sur 7), ce produit est complexe en raison de sa structure conditionnelle et de la dépendance à la performance d'un panier d'indices.",complexe
XS2481799026,Produit (sous forme de titre de créance) de remboursement par anticipation avec barrière de 9 ans et 2 mois lié à Crédit Agricole S.A. et à Société Générale S.A.,Goldman Sachs Finance Corp International Ltd,2023-06-30,2033-05-16,Oui,1000.0,0.0,0.6,6,"Crédit Agricole S.A., Société Générale S.A.","Action, Action","FR0000045072, FR0000130809",0.0,0.0,0.01,0.0,Non,-0.785,0.093,,2024-02-29,"• Titre de créance sans intérêts avec garantie de paiement par The Goldman Sachs Group, Inc.
• Remboursement anticipé possible selon performance des actions Crédit Agricole S.A. et Société Générale S.A.
• Remboursement par anticipation : si cours de clôture des actions ≥ niveau de barrière à date d'observation, paiement croissant à chaque date.
• À l'échéance, si pas de remboursement anticipé :
  1. Cours de clôture ≥ niveau de barrière : paiement de 1 890,00 EUR.
  2. Sinon : paiement basé sur la performance de l'action la moins performante.","Ce produit est un titre de créance lié aux actions de Crédit Agricole S.A. et Société Générale S.A., avec une durée de 9 ans et 2 mois et une date d'échéance au 16 mai 2033. Il offre un potentiel de remboursement anticipé basé sur la performance des actions, avec un paiement croissant à chaque date d'observation. Si aucun remboursement anticipé ne se produit, le paiement à l'échéance dépendra de la performance de l'action la moins performante par rapport à son niveau de barrière. Le produit est classé avec un risque élevé (6 sur 7) et ne fournit pas de protection du capital, ce qui signifie que les investisseurs pourraient perdre une partie ou la totalité de leur investissement. La complexité de ce produit est considérée comme élevée en raison de sa dépendance à la performance de deux actions spécifiques et de la structure de paiement conditionnelle.",complexe
XS2481761992,"Produit (sous forme de titre de créance) de remboursement par anticipation avec barrière de 11 ans lié à l'indice Morningstar Eurozone 30 Basic Resources, Banks and Energy Decrement 50 Point Index GR EUR",Goldman Sachs Finance Corp International Ltd,2022-10-14,2035-01-12,Oui,1000.0,0.0,0.5,1,"Morningstar Eurozone 30 Basic Resources, Banks and Energy Decrement 50 Point Index GR EUR",Indice,Non applicable,0.0,0.0,0.015,0.002,Non applicable,0.006,0.006,Non applicable,2024-02-29,"• Titre de créance sans génération d'intérêts.
• Remboursement par anticipation possible selon performance de l'indice sous-jacent.
• Paiement à l'échéance dépendant de la performance de l'indice sous-jacent.
• Aucune protection du capital en cas de baisse de l'indice sous-jacent.
• Possibilité de perte totale de l'investissement.","Ce produit est un titre de créance lié à l'indice Morningstar Eurozone 30 Basic Resources, Banks and Energy Decrement 50 Point Index GR EUR, sans intérêts, avec une durée de 11 ans et une date d'échéance au 12 janvier 2035. Il offre un potentiel de remboursement anticipé basé sur la performance de l'indice sous-jacent, sans garantie de capital. Le remboursement à l'échéance est conditionné par la performance de l'indice, avec un risque de perte totale de l'investissement. La complexité de ce produit est considérée comme moyenne en raison de sa structure conditionnelle et de l'absence de protection du capital.",moyenne
FR0014008BP3,SL â ATHENA ORANGE DIVIDENDE FIXE 0.65EUR MARS 2022,Credit Suisse AG,2022-03-31,2032-04-07,Oui,1000.0,0.0,0.4,7,Actions ordinaires de Orange SA,Action,FR0000133308,0.0,0.0,Non applicable,0.0,Non,-0.922,0.033,Non applicable,2024-02-29,"• Paiement à l'échéance basé sur la performance de l'actif sous-jacent.
• Remboursement anticipé possible à des dates spécifiques si le cours de référence dépasse les niveaux de barrière prédéfinis.
• Paiement à l'échéance varie selon le cours de référence final par rapport au cours initial.
• Aucun dividende ou droit lié à la détention de l'actif sous-jacent.","Le produit SL â ATHENA ORANGE DIVIDENDE FIXE 0.65EUR MARS 2022 est un titre de créance avec une durée de 10 ans, émis par Credit Suisse AG. Il offre un paiement à l'échéance qui dépend de la performance de l'action Orange SA, avec des paiements de remboursement anticipé possibles si l'action dépasse certaines barrières à des dates prédéfinies. Le paiement à l'échéance est plafonné à 1 820 EUR et peut être réduit si l'action chute en dessous de 40% de sa valeur initiale. Ce produit est destiné aux investisseurs ayant une tolérance au risque élevée, avec un niveau de risque de 7 sur 7, et est considéré comme complexe en raison de sa structure de paiement conditionnelle et de l'absence de protection du capital.",complexe
XS2423039549,Produit (sous forme de titre de créance) de remboursement par anticipation avec barrière de 3 ans et 6 mois lié à l'indice EURO STOXX 50® Index (Price EUR),Goldman Sachs International,2022-02-11,2027-02-04,Oui,1000.0,0.0,0.5,1,EURO STOXX 50® Index (Price EUR),Indice,,0.0,0.0,0.009,0.0,Non,0.001,0.001,,2024-02-29,"• Remboursement anticipé si l'indice atteint ou dépasse le seuil prédéfini à une date d'observation.
• Paiement spécifique pour chaque titre de créance en cas de remboursement anticipé, montant croissant à chaque date d'observation future.","Ce produit est un titre de créance lié à l'indice EURO STOXX 50® Index (Price EUR), sans génération d'intérêts et sans garantie d'entité. Il offre un potentiel d'appréciation du capital avec un risque de perte partielle ou totale à l'échéance. Le remboursement anticipé est possible si l'indice dépasse un seuil prédéfini, avec un paiement croissant à chaque date d'observation semestrielle. À l'échéance, le paiement dépend de la performance de l'indice par rapport au niveau de la barrière. Classé dans la classe de risque la plus basse (1 sur 7), ce produit présente un risque très faible de pertes liées aux mouvements du marché ou à l'insolvabilité de l'émetteur. La complexité de ce produit est considérée comme moyenne en raison de ses caractéristiques de paiement conditionnel et de son lien avec la performance d'un indice de marché.",moyenne
XS2080915221,Odyssée Michelin - Octobre 2020,Goldman Sachs Finance Corp International Ltd,2020-09-23,2025-10-20,Oui,1000.0,0.0,0.6,7,Compagnie Generale des Etablissements Michelin SCA,Action,FR0000121261,0.0,0.0,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,Non spécifié,2024-02-29,"• Potentiel d'appréciation du capital sans génération d'intérêts.
• Dépendance de la performance de l'action Michelin.
• Risque de perte partielle ou totale du capital à l'échéance.
• Possibilité de remboursement anticipé basé sur la performance de l'action.
• Paiement de remboursement par anticipation augmente à chaque date d'observation annuelle.
• À l'échéance, paiement basé sur la performance de l'action par rapport au niveau de la barrière.","Le produit 'Odyssée Michelin - Octobre 2020' est un titre de créance lié à l'action Michelin, sans intérêts, avec une échéance fixée au 20 octobre 2025. Il offre un potentiel de gain en capital basé sur la performance de l'action Michelin, avec un risque de perte totale ou partielle du capital investi. Le produit peut être remboursé par anticipation si l'action atteint un certain seuil lors des dates d'observation annuelles, avec un paiement croissant à chaque date. Si aucun remboursement anticipé n'a lieu, le paiement à l'échéance dépendra de la performance de l'action par rapport à un niveau de barrière prédéfini. Classé dans la classe de risque la plus élevée (7/7), ce produit est considéré comme complexe en raison de sa structure de paiement conditionnelle et du risque élevé de perte en capital.",complexe
XS2482748675,Produit (sous forme de titre de créance) Phoenix avec remboursement par anticipation et barrière de 9 ans et 1 mois lié à l'indice Euronext G Stellantis 020522 Decrement 1.04,Goldman Sachs Finance Corp International Ltd,2023-02-17,2033-04-11,Oui,1000.0,0.0,0.5,1,Euronext G Stellantis 020522 Decrement 1.04,Indice,,0.0,0.0,0.009,0.002,Non,0.041,0.041,,2024-02-29,"• Intérêts conditionnels basés sur la performance de l'indice sous-jacent.
• Remboursement par anticipation possible si l'indice atteint 90% du cours de référence initial à des dates d'observation spécifiques.
• À l'échéance, si aucun remboursement anticipé :
  1. Cours de clôture ≥ 90% du cours initial : paiement de 2000 EUR par titre.
  2. Cours de clôture ≥ niveau de la barrière : paiement de 1000 EUR par titre.
  3. Cours de clôture < niveau de la barrière : paiement ajusté selon la formule de remboursement.","Ce produit structuré est un titre de créance lié à l'indice Euronext G Stellantis 020522 Decrement 1.04, avec une durée de 9 ans et 1 mois. Il offre des intérêts conditionnels et la possibilité d'un remboursement anticipé basé sur la performance de l'indice. À l'échéance, le remboursement dépend de la performance de l'indice par rapport à des seuils prédéfinis. Le produit est classé dans la classe de risque la plus basse (1 sur 7), mais il n'offre pas de protection du capital et peut entraîner une perte totale de l'investissement en cas de non-paiement par l'émetteur ou le garant. La complexité de ce produit est considérée comme moyenne en raison de ses caractéristiques de paiement conditionnel et de son lien avec la performance d'un indice de marché.",moyenne
FR0014004Q16,Produit (sous forme de titre de créance) Phoenix avec remboursement par anticipation et barrière de 8 ans et 6 mois lié à Orange SA (Action Orange Rendement Octobre 2021),Goldman Sachs International,2021-08-06,2031-10-20,Oui,1000.0,0.0,0.7,7,Orange SA,Action,FR0000133308,0.0,0.0,0.011,0.0,Non,0.002,0.002,,2024-02-29,"• Intérêts conditionnels basés sur la performance de l'action Orange SA.
• Remboursement par anticipation possible si l'action atteint ou dépasse un seuil prédéfini.
• À l'échéance, remboursement basé sur la performance de l'action par rapport à un niveau de barrière.
• En cas de non-remboursement par anticipation, paiement de 1000 EUR par titre si l'action est au-dessus de la barrière, sinon paiement ajusté en fonction de la performance de l'action.","Ce produit est un titre de créance lié à l'action Orange SA, sans protection du capital, avec une échéance de 8 ans et 6 mois. Il offre des intérêts conditionnels et un remboursement par anticipation basé sur la performance de l'action. Si aucun remboursement par anticipation ne se produit, le remboursement à l'échéance dépendra de la performance de l'action par rapport à un niveau de barrière prédéfini. Classé dans la classe de risque la plus élevée (7/7), ce produit est complexe et peut entraîner une perte totale de l'investissement.",complexe
XS2061618414,Produit (sous forme de titre de créance) Reverse Convertible avec remboursement par anticipation et barrière de 2 ans et 4 mois lié à l'indice EURO STOXX Banks (Price EUR) Index (K Rendement Euro Stoxx Bank Juin 2023),Goldman Sachs Finance Corp International Ltd,2023-05-08,2026-07-07,Oui,1000.0,0.0,0.4,5,EURO STOXX Banks (Price EUR) Index,Indice,,0.0,0.0,0.01,0.002,Non,-0.273,0.046,,2024-02-29,"• Taux d'intérêt fixe.
• Remboursement anticipé possible selon performance de l'indice sous-jacent.
• À l'échéance, remboursement dépendant de la performance de l'indice sous-jacent.
• Niveau de barrière à 40% du cours de référence initial.
• Pas de protection contre les aléas de marché.","Ce produit est un titre de créance avec un taux d'intérêt fixe, lié à l'indice EURO STOXX Banks. Il offre la possibilité d'un remboursement anticipé en fonction de la performance de l'indice et, à défaut, un remboursement à l'échéance qui dépend de la performance de l'indice par rapport à un niveau de barrière fixé à 40% du cours de référence initial. Il n'offre pas de protection du capital et présente un risque de perte partielle ou totale de l'investissement. La complexité du produit est considérée comme moyenne en raison de la dépendance à la performance d'un indice et de l'absence de protection du capital.",moyenne
FR1459AB0902,Produit (sous forme de titre de créance) de remboursement par anticipation avec barrière de 2 ans et 8 mois lié à LVMH Moët Hennessy Louis Vuitton SE (Autocall mensuel sur LVMH),Goldman Sachs Finance Corp International Ltd,2023-08-16,2026-11-09,Oui,1000.0,0.0,0.7,5,LVMH Moët Hennessy Louis Vuitton SE,Action,FR0000121014,0.0,0.0,0.01,0.0,Non,-0.5007,0.083,,2024-02-29,"• Potentiel d'appréciation du capital sans génération d'intérêts.
• Remboursement anticipé possible en fonction de la performance de l'action LVMH.
• Paiement croissant à chaque date d'observation pour remboursement anticipé.
• À l'échéance, paiement dépendant de la performance de l'action LVMH par rapport au prix d'exercice et au niveau de la barrière.","Ce produit est un titre de créance lié à l'action LVMH Moët Hennessy Louis Vuitton SE, sans intérêts, avec une durée de 2 ans et 8 mois et une échéance finale le 9 novembre 2026. Il offre un potentiel de remboursement anticipé basé sur la performance de l'action LVMH, avec des paiements croissants à chaque date d'observation. À l'échéance, si aucun remboursement anticipé n'a eu lieu, le paiement dépendra de la performance de l'action par rapport à son prix initial et au niveau de la barrière. Le produit est classé avec un risque de 5 sur 7, indiquant un niveau de risque moyen à élevé. La complexité de ce produit est considérée comme moyenne en raison de sa structure de paiement conditionnelle et de son lien avec la performance d'une action spécifique.",moyenne
XS2334626756,Produit (sous forme de titre de créance) de remboursement par anticipation avec barrière de 3 ans et 5 mois lié à ING Groep N.V. et à Unibail-Rodamco-Westfield,Goldman Sachs International,2021-06-16,2027-08-06,Oui,1000.0,0.0,0.6,6,"ING Groep N.V., Unibail-Rodamco-Westfield","Action, Action","NL0011821202, FR0013326246",0.0,0.0,0.009,0.0,Non,-0.878,0.256,,2024-02-29,"• Potentiel d'appréciation du capital sans génération d'intérêts.
• Remboursement dépendant de la performance de ING Groep N.V. et Unibail-Rodamco-Westfield.
• Risque de perte partielle ou totale du capital à l'échéance.
• Possibilité de remboursement anticipé basé sur la performance des actifs sous-jacents.
• Paiement du remboursement par anticipation si les actifs sous-jacents atteignent ou dépassent le niveau de la barrière de remboursement par anticipation à des dates d'observation spécifiques.","Ce produit est un titre de créance lié à la performance de deux actions, ING Groep N.V. et Unibail-Rodamco-Westfield, sans génération d'intérêts. Il offre un potentiel de croissance du capital, mais comporte un risque de perte partielle ou totale de l'investissement. Le remboursement dépend de la performance des actifs sous-jacents et peut être effectué par anticipation si certaines conditions sont remplies. Le produit est conçu pour être conservé jusqu'à l'échéance ou jusqu'à un remboursement anticipé, avec un niveau de risque élevé (6 sur 7). La complexité de ce produit est considérée comme élevée en raison de sa dépendance à la performance de deux actions spécifiques et de la structure de remboursement conditionnelle.",complexe
XS2444547637,Produit (sous forme de titre de créance) Phoenix avec remboursement par anticipation et barrière de 11 ans lié à l'indice S&P Eurozone LargeMidCap Banks (Industry Group) 50 Point Decrement Index (EUR) TR («Quartz Rendement Memoire Banques Mai 2022»),Goldman Sachs International,2022-04-08,2034-06-07,Oui,1000.0,0.0,0.5,1,S&P Eurozone LargeMidCap Banks (Industry Group) 50 Point Decrement Index (EUR) TR,Indice,Non spécifié,0.0,0.0,0.036,Non spécifié,Non spécifié,0.007,0.007,Non spécifié,2024-02-29,"• Intérêts liés à la performance de l'indice sous-jacent.
• Remboursement par anticipation possible selon la performance de l'indice.
• À l'échéance, remboursement basé sur la performance de l'indice.
• Si l'indice est au-dessus de la barrière à l'échéance, remboursement de 100% du nominal.
• Si l'indice est en dessous de la barrière à l'échéance, remboursement ajusté selon la performance de l'indice.","Le produit 'Quartz Rendement Memoire Banques Mai 2022' est un titre de créance lié à l'indice S&P Eurozone LargeMidCap Banks 50 Point Decrement Index (EUR) TR, sans protection du capital. Il offre des intérêts conditionnels et un remboursement par anticipation basé sur la performance de l'indice. À l'échéance, le remboursement dépend de la performance de l'indice par rapport à la barrière de 50% du cours de référence initial. Classé dans la classe de risque la plus basse (1 sur 7), ce produit est conçu pour les investisseurs ayant une compréhension avancée des produits financiers et prêts à accepter le risque de perte totale de l'investissement. La complexité de ce produit est considérée comme moyenne en raison de ses caractéristiques de paiement conditionnel et de son lien avec la performance d'un indice spécifique.",moyenne
XS2423159875,Produit (sous forme de titre de créance) Phoenix avec remboursement par anticipation et barrière quanto de 1 an et 6 mois lié à Nvidia Corporation,Goldman Sachs International,2022-02-21,2025-02-03,Oui,1000.0,0.0,0.5,1,Nvidia Corporation,Action,US67066G1040,0.0,0.0,0.01,0.0,Non,0.001,0.001,,2024-02-29,"• Intérêts conditionnels basés sur la performance de l'action Nvidia Corporation.
• Remboursement par anticipation possible en fonction de la performance de l'action.
• À l'échéance, remboursement basé sur la performance de l'action par rapport au niveau de la barrière.
• En cas de non-remboursement par anticipation, remboursement à l'échéance selon deux scénarios : si l'action est au-dessus de la barrière, paiement de 1000 EUR par titre ; si l'action est en dessous de la barrière, paiement ajusté selon la formule de remboursement.","Ce produit est un titre de créance lié à l'action de Nvidia Corporation, sans protection du capital. Il offre des intérêts conditionnels et un remboursement par anticipation basé sur la performance de l'action. À l'échéance, si aucun remboursement par anticipation n'a eu lieu, le paiement dépendra de la position de l'action par rapport à une barrière fixée à 50% du cours de référence initial. Si l'action est au-dessus de la barrière, le remboursement est intégral ; si elle est en dessous, le remboursement est ajusté à la baisse. Le produit est classé avec un risque très faible (1 sur 7), mais il existe un risque de perte totale de l'investissement. La complexité du produit est considérée comme moyenne en raison de la structure conditionnelle des paiements et de la dépendance à la performance d'une action unique.",moyenne
XS2482845364,Produit (sous forme de titre de créance) Bonus avec remboursement par anticipation de 4 ans et 3 mois lié à Société Générale S.A.,Goldman Sachs Finance Corp International Ltd,2023-03-24,2028-06-05,Oui,1000.0,0.0,0,6,Société Générale S.A.,Action,FR0000130809,0.0,0.0,0.035,0.001,Non,-0.807,0.119,,2024-02-29,"• Potentiel d'appréciation du capital sans génération d'intérêts.
• Dépendance de la performance de l'action Société Générale S.A.
• Possibilité de remboursement anticipé basé sur la performance de l'actif sous-jacent.
• Remboursement à l'échéance conditionné par le niveau de l'actif sous-jacent.
• Pas de protection du capital; risque de perte partielle ou totale.","Ce produit est un titre de créance lié à l'action Société Générale S.A., sans intérêts, avec une durée de 4 ans et 3 mois et une échéance finale le 5 juin 2028. Il offre un potentiel de croissance du capital basé sur la performance de l'action, avec un remboursement anticipé possible en fonction de cette performance. À l'échéance, le remboursement varie selon le cours de clôture de l'action, avec un risque de perte en capital si l'action est en dessous de 60% de son cours initial. Le produit est classé avec un niveau de risque élevé (6 sur 7) et ne garantit pas le capital investi. La complexité de ce produit est considérée comme élevée en raison de sa dépendance à la performance d'une action unique et de l'absence de protection du capital.",complexe
XS2061859455,Produit (sous forme de titre de créance) de remboursement par anticipation avec barrière de 5 ans et 7 mois lié à Unibail-Rodamco-Westfield,Goldman Sachs Finance Corp International Ltd,2019-10-30,2029-10-17,Oui,1000.0,0.0,0.5,6,Unibail-Rodamco-Westfield,Action,FR0013326246,0.0,0.0,0.05,0.0,Non,-0.967,0.248,,2024-02-29,"• Potentiel d'appréciation du capital sans génération d'intérêts.
• Remboursement par anticipation possible en fonction de la performance de l'actif sous-jacent.
• Remboursement à l'échéance basé sur la performance de l'actif sous-jacent.
• Paiement de remboursement par anticipation augmente à chaque date d'observation.
• À l'échéance, paiement basé sur le niveau de l'actif sous-jacent par rapport à la barrière.","Ce produit est un titre de créance lié à l'action Unibail-Rodamco-Westfield, sans intérêts, avec une durée de 5 ans et 7 mois et une échéance finale le 17 octobre 2029. Il offre un potentiel de gain en capital basé sur la performance de l'actif sous-jacent, avec un remboursement par anticipation possible chaque mois si l'actif dépasse un certain seuil. À l'échéance, si aucun remboursement anticipé n'a eu lieu, le paiement dépendra du cours de clôture de l'actif par rapport à un niveau de barrière prédéfini. Le produit est complexe en raison de sa structure de paiement conditionnelle et de son lien avec la performance d'un actif sous-jacent spécifique.",complexe
